Region,Grade,Sample Name,Absorbance,Concentration,Dry matter content,Caffiene Content
Sabaragamuwa Region,BOPF,SAB_BOPF_07918,0.227,17.22,92.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_10286,0.292,19.73,91.21,
Sabaragamuwa Region,BOPF,SAB_BOPF_14478,0.326,21.15,94.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_03466,0.426,19.72,96.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_21848,0.354,17.84,94.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_02972,0.388,20.9,95.02,
Sabaragamuwa Region,BOPF,SAB_BOPF_08408,0.314,18.33,96.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_33631,0.387,20.1,93.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_00879,0.32,17.55,93.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_15276,0.418,15.95,91.59,
Sabaragamuwa Region,BOPF,SAB_BOPF_37554,0.27,20.99,95.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_36061,0.329,20.55,94.59,
Sabaragamuwa Region,BOPF,SAB_BOPF_34765,0.354,19.21,94.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_06631,0.371,15.38,95.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_07746,0.33,17.92,94.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_28531,0.323,21.62,94.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_27761,0.33,15.43,95.8,
Sabaragamuwa Region,BOPF,SAB_BOPF_00446,0.356,17.27,96.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_11473,0.299,19.73,93.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_09402,0.315,22.11,93.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_15449,0.274,18.16,93.9,
Sabaragamuwa Region,BOPF,SAB_BOPF_35380,0.341,17.46,92.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_30172,0.302,24.06,94.8,
Sabaragamuwa Region,BOPF,SAB_BOPF_21102,0.368,18.93,94.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_37036,0.406,15.82,93.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_37847,0.419,22.4,94.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_29546,0.322,19.04,93.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_02628,0.362,22.3,94.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_32806,0.373,20.02,94.81,
Sabaragamuwa Region,BOPF,SAB_BOPF_33260,0.353,18.53,92.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_38096,0.295,19.13,93.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_21822,0.399,22.13,94.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_11548,0.384,18.04,95.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_19252,0.322,18.98,94.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_00279,0.324,17.59,93.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_31290,0.295,18.05,93.8,
Sabaragamuwa Region,BOPF,SAB_BOPF_29377,0.31,16.99,95.26,
Sabaragamuwa Region,BOPF,SAB_BOPF_38051,0.3,18.11,93.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_16128,0.347,21.5,93.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_17747,0.294,17.28,95.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_10336,0.291,20.57,94.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_32667,0.343,17.47,94.63,
Sabaragamuwa Region,BOPF,SAB_BOPF_13070,0.315,20.33,95.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_28677,0.332,17.51,95.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_31008,0.305,21.93,93.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_16689,0.4,19.72,92.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_01249,0.315,17.09,95.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_34506,0.36,19.14,95.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_08783,0.296,20.03,94.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_07077,0.403,19.74,94.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_19110,0.293,17.65,96.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_34332,0.371,24.45,90.82,
Sabaragamuwa Region,BOPF,SAB_BOPF_20033,0.354,17.72,93.89,
Sabaragamuwa Region,BOPF,SAB_BOPF_13233,0.269,19.5,95.2,
Sabaragamuwa Region,BOPF,SAB_BOPF_28746,0.3,22.19,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_04626,0.324,14.97,95.16,
Sabaragamuwa Region,BOPF,SAB_BOPF_28940,0.319,18.98,95.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_30624,0.34,19.59,92.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_09239,0.36,15.81,95.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_31925,0.306,16.83,94.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_17030,0.332,16.74,94.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_12751,0.337,18.84,95.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_18066,0.315,18.35,91.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_12111,0.302,22.87,95.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_29192,0.292,20.79,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_15533,0.367,18.52,93.63,
Sabaragamuwa Region,BOPF,SAB_BOPF_32295,0.395,22.11,93.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_33097,0.313,20.36,94.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_01778,0.252,18.26,94.5,
Sabaragamuwa Region,BOPF,SAB_BOPF_07565,0.326,19.86,94.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_19562,0.416,22.78,95.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_35949,0.345,19.83,92.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_33007,0.377,19.74,98.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_38323,0.357,17.31,95.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_29699,0.365,22.48,92.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_14125,0.352,19.39,96.53,
Sabaragamuwa Region,BOPF,SAB_BOPF_13386,0.33,22.82,92.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_25751,0.303,21.35,94.17,
Sabaragamuwa Region,BOPF,SAB_BOPF_11494,0.299,20.15,93.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_21952,0.365,19.24,94.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_23737,0.316,16.06,95.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_07007,0.323,15.79,93.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_22572,0.385,18.06,93.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_29357,0.228,19.86,97.31,
Sabaragamuwa Region,BOPF,SAB_BOPF_33501,0.296,18.7,91.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_19382,0.329,18.79,91.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_13401,0.304,22.8,92.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_32266,0.401,19.58,95.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_36319,0.38,22.85,94.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_29420,0.34,20.09,95.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_30747,0.357,21.03,93.71,
Sabaragamuwa Region,BOPF,SAB_BOPF_04730,0.324,22.17,93.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_15946,0.313,18.04,96.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_20635,0.321,22.11,94.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_21131,0.326,16.22,93.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_27236,0.331,20.65,91.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_38149,0.362,18.6,95.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_27242,0.392,16.67,93.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_08606,0.388,18.67,94.22,
Sabaragamuwa Region,BOPF,SAB_BOPF_35919,0.376,17.92,93.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_15417,0.377,21.45,94.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_24102,0.385,15.83,92.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_04189,0.295,18.68,93.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_10609,0.396,19.59,94.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_00836,0.332,19.99,95.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_32814,0.342,19.53,93.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_25346,0.324,16.2,91.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_31586,0.323,20.39,93.65,
Sabaragamuwa Region,BOPF,SAB_BOPF_25539,0.302,19.97,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_06703,0.309,19.7,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_29603,0.32,21.78,95.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_22466,0.368,21.23,94.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_28599,0.411,21.72,94.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_19334,0.305,16.93,95.53,
Sabaragamuwa Region,BOPF,SAB_BOPF_34566,0.307,21.38,96.31,
Sabaragamuwa Region,BOPF,SAB_BOPF_00848,0.277,18.16,94.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_21511,0.377,19.34,95.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_16605,0.257,18.55,92.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_39633,0.27,15.98,96.2,
Sabaragamuwa Region,BOPF,SAB_BOPF_29802,0.385,18.5,93.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_25842,0.367,19.91,96.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_14993,0.292,20.56,94.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_20642,0.341,14.76,95.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_30813,0.313,21.65,94.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_04967,0.303,18.99,95.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_19157,0.259,20.21,94.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_01685,0.356,20.35,95.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_34624,0.353,18.94,94.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_05875,0.241,21.08,94.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_38010,0.314,15.82,95.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_07935,0.349,16.12,94.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_03992,0.34,17.89,94.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_32966,0.278,19.13,93.35,
Sabaragamuwa Region,BOPF,SAB_BOPF_24762,0.259,15.12,94.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_18233,0.343,18.81,94.16,
Sabaragamuwa Region,BOPF,SAB_BOPF_30980,0.305,20.3,93.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_23384,0.312,17.46,95.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_27080,0.361,18.01,93.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_31635,0.334,19.52,95.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_09089,0.295,16.47,93.23,
Sabaragamuwa Region,BOPF,SAB_BOPF_35303,0.274,21.18,95.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_28523,0.348,19.0,93.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_14221,0.366,20.25,93.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_26992,0.421,22.79,92.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_35139,0.316,17.19,93.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_31492,0.347,20.0,96.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_15631,0.25,22.8,93.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_14794,0.353,20.24,92.21,
Sabaragamuwa Region,BOPF,SAB_BOPF_05995,0.38,21.42,93.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_13121,0.357,20.69,93.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_33262,0.344,21.82,96.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_23628,0.332,19.88,95.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_02561,0.32,23.61,92.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_13924,0.289,18.67,95.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_36184,0.313,16.58,94.19,
Sabaragamuwa Region,BOPF,SAB_BOPF_21889,0.325,20.48,95.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_09897,0.311,17.0,93.02,
Sabaragamuwa Region,BOPF,SAB_BOPF_39103,0.227,18.8,94.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_01394,0.287,16.63,94.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_38041,0.305,18.02,93.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_34351,0.418,19.23,93.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_03244,0.282,19.1,92.8,
Sabaragamuwa Region,BOPF,SAB_BOPF_25694,0.303,21.6,94.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_28881,0.376,23.06,92.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_32756,0.282,21.23,95.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_15105,0.311,18.88,92.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_21858,0.307,20.44,94.21,
Sabaragamuwa Region,BOPF,SAB_BOPF_34559,0.385,17.3,93.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_15115,0.306,17.31,96.63,
Sabaragamuwa Region,BOPF,SAB_BOPF_32658,0.317,16.99,97.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_04293,0.281,21.59,94.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_11597,0.316,17.95,93.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_06337,0.307,19.3,94.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_22097,0.308,17.65,92.21,
Sabaragamuwa Region,BOPF,SAB_BOPF_34908,0.387,19.31,92.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_16365,0.402,16.9,95.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_08621,0.348,14.72,93.53,
Sabaragamuwa Region,BOPF,SAB_BOPF_33075,0.274,17.53,97.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_29180,0.296,17.13,95.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_38993,0.34,22.03,92.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_02145,0.271,17.6,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_08059,0.259,17.52,94.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_38693,0.362,20.36,90.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_18278,0.376,17.65,93.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_31529,0.344,19.66,92.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_24903,0.289,19.32,93.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_31992,0.344,17.91,94.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_06336,0.3,17.52,94.65,
Sabaragamuwa Region,BOPF,SAB_BOPF_00787,0.327,18.52,93.48,
Sabaragamuwa Region,BOPF,SAB_BOPF_00813,0.323,14.55,91.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_21828,0.315,16.85,92.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_14595,0.29,18.24,93.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_29783,0.334,17.76,96.11,
Sabaragamuwa Region,BOPF,SAB_BOPF_38622,0.318,21.1,93.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_31552,0.294,17.82,94.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_19179,0.344,16.27,93.9,
Sabaragamuwa Region,BOPF,SAB_BOPF_09073,0.361,18.58,93.65,
Sabaragamuwa Region,BOPF,SAB_BOPF_24922,0.312,19.32,95.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_22033,0.321,21.73,93.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_19747,0.41,20.25,91.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_33371,0.342,17.97,93.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_16025,0.334,22.81,96.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_10661,0.304,19.12,93.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_16052,0.353,17.52,94.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_09769,0.403,16.18,94.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_25682,0.312,18.91,92.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_14262,0.271,20.81,94.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_28385,0.328,21.71,93.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_11606,0.311,19.34,95.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_01083,0.355,15.43,92.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_31294,0.358,14.93,93.11,
Sabaragamuwa Region,BOPF,SAB_BOPF_28284,0.338,23.22,95.23,
Sabaragamuwa Region,BOPF,SAB_BOPF_33047,0.29,14.73,92.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_15470,0.277,20.25,93.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_18662,0.39,20.32,93.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_15556,0.379,21.58,95.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_17729,0.224,20.11,95.97,
Sabaragamuwa Region,BOPF,SAB_BOPF_17628,0.343,19.18,94.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_04340,0.307,18.08,93.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_23376,0.289,20.27,94.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_09198,0.332,19.79,92.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_28144,0.392,17.48,95.07,
Sabaragamuwa Region,BOPF,SAB_BOPF_12690,0.351,17.43,94.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_14206,0.369,14.73,92.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_23279,0.333,19.91,92.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_00328,0.333,21.7,90.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_15180,0.355,19.8,94.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_35388,0.32,20.84,94.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_25958,0.344,22.74,94.59,
Sabaragamuwa Region,BOPF,SAB_BOPF_31872,0.245,16.63,93.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_28361,0.308,19.0,95.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_33460,0.284,20.49,93.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_21526,0.321,18.2,92.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_08995,0.209,19.88,95.46,
Sabaragamuwa Region,BOPF,SAB_BOPF_15663,0.389,18.3,92.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_03521,0.319,21.94,95.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_14457,0.334,16.04,92.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_26865,0.281,17.46,96.53,
Sabaragamuwa Region,BOPF,SAB_BOPF_33742,0.354,18.01,92.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_37830,0.342,18.71,94.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_29334,0.372,15.43,92.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_09850,0.238,19.61,94.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_17289,0.344,16.78,93.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_32019,0.276,18.03,93.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_12766,0.264,21.99,95.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_10841,0.288,21.62,92.56,
Sabaragamuwa Region,BOPF,SAB_BOPF_12078,0.249,23.0,94.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_16513,0.348,19.25,96.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_23578,0.336,14.6,91.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_18274,0.31,17.44,92.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_20666,0.363,16.99,96.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_00113,0.31,22.12,95.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_25350,0.365,18.36,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_04308,0.379,18.89,91.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_12747,0.243,20.71,93.06,
Sabaragamuwa Region,BOPF,SAB_BOPF_20216,0.37,17.3,94.82,
Sabaragamuwa Region,BOPF,SAB_BOPF_28554,0.407,18.5,94.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_38673,0.319,17.62,95.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_25497,0.333,18.56,95.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_16807,0.32,18.24,95.03,
Sabaragamuwa Region,BOPF,SAB_BOPF_25360,0.368,20.06,94.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_33253,0.318,19.33,92.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_31092,0.328,19.76,92.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_39324,0.275,15.28,96.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_11692,0.337,15.14,92.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_12572,0.318,19.8,91.6,
Sabaragamuwa Region,BOPF,SAB_BOPF_18744,0.343,14.72,93.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_08632,0.301,16.05,94.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_04484,0.347,22.12,95.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_24537,0.365,18.96,94.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_35060,0.239,19.92,94.22,
Sabaragamuwa Region,BOPF,SAB_BOPF_25246,0.294,21.54,92.71,
Sabaragamuwa Region,BOPF,SAB_BOPF_03194,0.369,20.06,96.19,
Sabaragamuwa Region,BOPF,SAB_BOPF_02903,0.401,19.38,92.06,
Sabaragamuwa Region,BOPF,SAB_BOPF_37447,0.405,19.21,95.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_25818,0.362,20.36,92.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_19804,0.316,17.97,92.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_31123,0.334,17.63,93.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_08317,0.281,16.73,95.16,
Sabaragamuwa Region,BOPF,SAB_BOPF_36845,0.299,16.34,92.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_29234,0.283,19.5,92.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_16099,0.221,18.71,92.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_07652,0.34,22.0,93.6,
Sabaragamuwa Region,BOPF,SAB_BOPF_27356,0.365,15.88,95.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_10722,0.41,19.16,93.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_22062,0.381,20.82,92.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_24161,0.368,19.62,93.22,
Sabaragamuwa Region,BOPF,SAB_BOPF_03537,0.325,19.18,95.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_27591,0.318,16.68,93.2,
